noaa_station_id,nws_station_id,noaa_station_name,nws_station_name,display_name,lat,lon,state,station_type,supports_water_level,distance_km
8775296,KCRP,"USS Lexington, Corpus Christi Bay",Corpus Christi International Airport,"USS Lexington, Corpus Christi Bay (8775296)",27.8149,-97.3892,Texas,Unknown,False,11.99
8775792,KNGP,Packery Channel,"Corpus Christi, Naval Air Station",Packery Channel (8775792),27.6333,-97.2367,Texas,Unknown,False,7.16
8776139,KNGP,S. Bird Island,"Corpus Christi, Naval Air Station",S. Bird Island (8776139),27.484362,-97.31811,Texas,Unknown,False,22.36
8776604,KNGP,Baffin Bay,"Corpus Christi, Naval Air Station",Baffin Bay (8776604),27.297,-97.40517,Texas,Unknown,False,44.58
8777812,KHRL,Rincon Del San Jose,"Harlingen, Rio Grande Valley International Airport",Rincon Del San Jose (8777812),26.801195,-97.47056,Texas,Unknown,False,66.54
8778490,KHRL,Port Mansfield,"Harlingen, Rio Grande Valley International Airport",Port Mansfield (8778490),26.557638,-97.42572,Texas,Unknown,False,43.81
8779280,KPIL,Realitos Peninsula,Port Isabel-Cameron County Airport,Realitos Peninsula (8779280),26.2624,-97.2853,Texas,Unknown,False,12.64
8779748,KSPL,South Padre Island CG Station,South Padre Island Heliport,South Padre Island CG Station (8779748),26.0731,-97.1675,Texas,Unknown,False,1.07
8779749,KSPL,SPI Brazos Santiago,South Padre Island Heliport,SPI Brazos Santiago (8779749),26.0675,-97.1548,Texas,Unknown,False,0.42
8779770,KSPL,Port Isabel,South Padre Island Heliport,Port Isabel (8779770),26.061167,-97.21553,Texas,Unknown,False,5.92
9014070,KMTC,Algonac,Selfridge Air National Guard Base,Algonac (9014070),42.621113,-82.526665,Maryland,Unknown,False,25.64
9014080,KPHN,St. Clair State Police,St. Clair County International,St. Clair State Police (9014080),42.81222,-82.48556,Maryland,Unknown,False,12.52
9014087,KPHN,Dry Dock,St. Clair County International,Dry Dock (9014087),42.94528,-82.44334,Maryland,Unknown,False,7.59
9014090,KPHN,Mouth of the Black River,St. Clair County International,Mouth of the Black River (9014090),42.9738,-82.4204,Maryland,Unknown,False,10.74
9014098,KPHN,Fort Gratiot,St. Clair County International,Fort Gratiot (9014098),43.0069,-82.4225,Maryland,Unknown,False,13.03
